incident_summary,raw_output,true_civilians,pred_civilians,true_maoist,pred_maoist,true_government_officials,pred_government_officials,true_security,pred_security,true_private_property,pred_private_property,true_mining_company,pred_mining_company,true_government_infrastructure,pred_government_infrastructure,true_non_maoist_armed_group,pred_non_maoist_armed_group,true_no_target,pred_no_target
"Suspected CPI-Maoist cadres torched at least 10 heavy vehicles engaged in a road construction project in McCluskieganj in Ranchi District. Dozens of armed extremists raided the construction site in Dulli-Konka forests near Ranchi-Latehar border around 1.30 pm and thrashed workers of Spica Projects and Infrastructures Pvt. Ltd. The firm, owned by Santosh Kumar Singh, is building McCluskieganj-Chama Main Road. The Maoists set on fire a 10-wheeler truck, five tractors, two JCBs and two dumpers.",Private Property,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0
"Four suspected CPI-Maoist cadres killed a civilian, identified as V. Krishna Rao, at Bannavaram village in the Chintapalli mandal of Visakhapatnam District. The Maoists killed Rao suspecting him to be an informer of the Police.",Civilians,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20 cadres of the CPI-Maoist were killed in a fierce encounter with the CRPF 111 Battalion and State Police personnel near Aasrampura village of Jagargunda area in Dantewada District. A CRPF press release said, ""More than 15 Naxals were injured. The bodies of nine Naxals and arms and ammunitions have been recovered. More than 150 Naxals opened fire on a CRPF party, which was conducting the area-domination operation. In the ensuing encounter, around 20 Maoists were killed. No casualty has been reported from the CRPF’s side. The appearance and combat fatigues of the dead Maoists showed that they were well trained","Maoist, Security",0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"The CPI-Maoist cadres have allegedly killed another villager by slitting his throat in Salapanga village under Sadar block in Kalahandi District. The Maoists reportedly killed Lalu Harijan, suspecting him to be a 'Police informer'.",Civilians,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A group of 44 CPI-Maoist cadres surrender at a rally at Chinakodepal village in the Dantewada District.,Maoist,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
A CPI-Maoist leader wanted in several cases of murder was arrested from Gadopur in Arwal District.,Maoist,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Five SF personnel were injured when they were fired upon by cadres of the CPI-Maoist in West Singbhum District. The attack on the SFs came when they went to rescue two abducted villagers from Maoists' clutches.,"Security, Civilians",0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
A 15 kg IED was recovered by SF personnel from Narayanpur District. Officials said the recovery was made by a squad of paramilitary ITBP force from the Revamand-Kulnar road area of the District.,Security,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"The cadres of the PLFI, a breakaway faction of the CPI-Maoist killed a 32-year-old villager in Jharkhandi village under Bandugaon Police Station in West Singhbhum District. The deceased identified as Christopi Horo was chatting with some other villagers near a church when four PLFI cadres in motorcycles shot him dead.",Civilians,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SFs recovered two powerful tiffin bombs from Adava in Gajapati District. ""The explosives, suspected to have been planted by the Maoists, were recovered from the Kattama-Baliganda route during a combing operation carried out jointly by the CRPF, the district voluntary force and police,"" said SP Satyajit Nayak. The two tiffins contained IEDs weighing 47 kg each.",Security,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
