incident_summary,total_fatalities,first_action,incident_number,count_bin
A TDP leader and former Sarpanch of Jerrela Gram Panchayat in Visakha Agency of Vishakhapatnam District,1,Armed Assault,101051602.0,1
"The CPI-Maoist cadres blasted coffee pulping units at Teegalabanda and Pedavalasa villages in G.K. Veedhi mandal and took away nearly 350 bags of graded coffee beans with them. The attack was carried out in protest against the December 27, 2006-killing of its top leaders, Wadkapur Chandramouli and his wife Karuna, in the agency area.",0,Bombing,101060701.0,0
Suspected cadres of a CPI-Maoist 'action team' shot dead a home guard at Parnashala in Dummugudem mandal in Khammam District of Andhra Pradesh.,1,Armed Assault,101081301.0,1
Andhra Pradesh Police killed two CPI-Maoist cadres during an encounter in the Kotapalli forest area near the Andhra Pradesh-Chhattisgarh border in the Khammam District.,2,Armed Assault,101110701.0,2
"At least seven cadres of CPI-Maoist and a constable of Greyhound, sustained injuries in an exchange of fire during a combing operation in the forest area between Cherla and Kitaram villages in Khammam District of Andhra Pradesh.",0,Armed Assault,101121301.0,0
"CPI-Maoist cadres kill a Home Guard, Sheikh Nazir, at Gundallupalli village in Guntur District, in retaliation to the earlier deaths of two Naxalites in Police firing.",1,Armed Assault,101130501.0,1
CPI-Maoist cadres trigger a series of landmine blasts targeting a Police party combing the forests of Murmur village in the Wajeedu area of Khammam District.,0,Bombing,101130601.0,0
"The Nalgonda District Police killed four CPI-Maoist cadres in an encounter on the outskirts of Yelamanagudem village in Gurrampodu mandal (administrative division). Unconfirmed sources said that a senior second rung leader, Betharaju Narasimha alias Mukku Ravi alias Janardhan, was among those killed. Superintendent of Police Vijay Kumar said that two to four Maoists might have managed to escape.",4,Armed Assault,101130701.0,3-5
"A former Maoist female cadre, Veeramalla Pushpa (35), was found dead at her residence in Ramanthapur in Hyderabad under the Uppal Police limits.",1,Armed Assault,101131201.0,1
"A Maoist couple was killed in an exchange of fire with the Police in a forest area in the Govindraopet sub-division of Warangal District. The slain extremists were identified as Satayya alias Suresh Anna, Secretary of Warangal, Karimnagar and Khammam District units of the CPI-ML Praja Pratighatna group, and his wife Rani, who was a commander of the party's armed squad. The Police recovered a spring loading rifle, a pistol and two kit bags from them.",2,Armed Assault,101150801.0,2
"A senior cadre and District committee secretary of the CPI-Maoist, identified as Karamthota Govinda Naik alias Sanjeevi alias Raju, was killed in an encounter at Mullampalli village of Pullalacheruvu mandal in the Prakasam District. However, four other Maoists managed to escape.",2,Armed Assault,101150901.0,2
"A 35-year-old man, believed to be a SPO of Chhattisgarh Police, was stabbed to death by suspected militia members of the CPI-Moist during a cockfighting event near Kommanapalli village in Dummugudem mandal in Khammam District of Andhra Pradesh.",1,Armed Assault,101151401.0,1
"Naxalites also kill a former Naxalite, Narsimhlu, at Srigadha village in the Karimnagar District.",1,Armed Assault,101160502.0,1
"Two CPI-Maoist cadres were killed in an encounter with the Police in Buruguvada village of Vararamachandrapuram sub-division in Khammam District. The deceased extremists were identified as Aithu alias Bhagat, 25, and Madakam Kosa, 26. They were suspected to be the commander and deputy commander, respectively, of the Bhadrachalam local organisational squad.",2,Armed Assault,101170801.0,2
"An activist of the ruling Congress party, Payam Lakhmaiah, was stabbed to death by CPI-Maoist cadres in the Sampathnagar village of Khammam District. The Police said that a six-member action team of the CPI-Maoist from Kothaguda (Warangal District) struck at his house at 10 p.m. and killed him in the presence of his family members.",1,Armed Assault,101170802.0,1
A former Naxalite was hacked to death by his rivals near the Ngarajunasagar Project Guest house in the Khammam town.,1,Armed Assault,101171001.0,1
"CPI-Maoist cadres retaliated to the killing of one of its senior leaders Sharath and a militia member near Korukonda shandy on October 19, 2014, after it killed a native of Veeravaram village Sanjeeva Rao, by destroying an ashram of Sanjeeva Rao's spiritual guru Simhachalam at Gurramveedhi village in G. Madugula mandal administrative unit.",1,Armed Assault,101171501.0,1
Suspected CPI-Maoist cadres kill two civilians in separate incidents at Mukundapuram and Kalagalla villages under Garladinne and Kuderu administrative division in the Anantapur District.,1,Armed Assault,101180501.0,1
Suspected CPI-Maoist cadres kill two civilians in separate incidents at Mukundapuram and villages under Garladinne and Kuderu administrative division in the Anantapur District.,1,Armed Assault,101180502.0,1
"A civilian, Samireddy Ganeshwar Rao of Beram village, was hacked to death by the CPI-Maoist cadres at Pulumamidi village in the G. Madugula sub-division of Visakhapatnam District.",1,Armed Assault,101180801.0,1
"The Police recovered a landmine, weighing five kilograms, which was planted by the CPI-Maoist cadres at the forest village of Kaliveru in the Khammam District. The landmine was laid targeting the Police officials bound for Pedamidisileru village where the department had organised a health camp.",0,Bombing,101180901.0,0
A Naxalite belonging to the Penna Ahobilam squad of the CPI-Maoist is killed in an encounter with the Police at Jarutlarampuram village in Anantapur District while another is arrested at the same place.,1,Armed Assault,101190501.0,1
