incident_summary,raw_output,true_armed_assault,pred_armed_assault,true_arrest,pred_arrest,true_bombing,pred_bombing,true_infrastructure,pred_infrastructure,true_surrender,pred_surrender,true_seizure,pred_seizure,true_abduction,pred_abduction
"Suspected CPI-Maoist cadres torched at least 10 heavy vehicles engaged in a road construction project in McCluskieganj in Ranchi District. Dozens of armed extremists raided the construction site in Dulli-Konka forests near Ranchi-Latehar border around 1.30 pm and thrashed workers of Spica Projects and Infrastructures Pvt. Ltd. The firm, owned by Santosh Kumar Singh, is building McCluskieganj-Chama Main Road. The Maoists set on fire a 10-wheeler truck, five tractors, two JCBs and two dumpers.","Infrastructure, Armed Assault",0,1,0,0,0,0,1,1,0,0,0,0,0,0
"Four suspected CPI-Maoist cadres killed a civilian, identified as V. Krishna Rao, at Bannavaram village in the Chintapalli mandal of Visakhapatnam District. The Maoists killed Rao suspecting him to be an informer of the Police.",Armed Assault,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"CPI-Maoist cadres killed a SPO, identified as N Munda, at Bandhagaon near Rourkela in Sundergarh District. They also left a black flag near his body.",Armed Assault,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"The CPI-Maoist cadres have allegedly killed another villager by slitting his throat in Salapanga village under Sadar block in Kalahandi District. The Maoists reportedly killed Lalu Harijan, suspecting him to be a 'Police informer'.",Armed Assault,1,1,0,0,0,0,0,0,0,0,0,0,0,0
A group of 44 CPI-Maoist cadres surrender at a rally at Chinakodepal village in the Dantewada District.,Surrender,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"At least 24 SF personnel, mostly belonging to the Eastern Frontier Rifles, were killed and several others injured when a large group of CPI-Maoist cadres attacked a SF camp at Silda in West Midnapore. The Maoists triggered several blasts before opening fire on the SF personnel. Before leaving, the Maoists looted firearms and set the camp ablaze.","Armed Assault, Bombing, Infrastructure, Seizure",1,1,0,0,1,1,0,1,0,0,1,1,0,0
A CPI-Maoist top cadre was arrested by the Police and SOG troopers at Temurpally under Mathili Police Station in Malkangiri District.,Arrest,0,0,1,1,0,0,0,0,0,0,0,0,0,0
A 15 kg IED was recovered by SF personnel from Narayanpur District. Officials said the recovery was made by a squad of paramilitary ITBP force from the Revamand-Kulnar road area of the District.,"Bombing, Seizure",0,0,0,0,0,1,0,0,0,0,1,1,0,0
"The cadres of the PLFI, a breakaway faction of the CPI-Maoist killed a 32-year-old villager in Jharkhandi village under Bandugaon Police Station in West Singhbhum District. The deceased identified as Christopi Horo was chatting with some other villagers near a church when four PLFI cadres in motorcycles shot him dead.",Armed Assault,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"The CPI-Maoist cadres killed a civilian, identified as Sundar Hantal (25), at Godaput under Chitrakonda Police Station limits in Malkangiri District.",Armed Assault,1,1,0,0,0,0,0,0,0,0,0,0,1,0
SF's destroyed two Maoist bunkers and seized about 5000 rounds of ammunition besides explosives from a training camp in Kubra hills in Gaya District.,"Infrastructure, Seizure",0,0,0,0,0,0,1,1,0,0,1,1,0,0
"A CPI-Maoist commander carrying head money of INR 200000, identified as Bisetti Maheswara Rao alias Venu/Raghava, was arrested by Police from the Vizianagaram District.",Arrest,0,0,1,1,0,0,0,0,0,0,0,0,0,0
The Security Forces (SFs) neutralised a CPI-Maoist bunker at Birma area in Banka District.,None,0,0,0,0,0,0,1,0,0,0,1,0,0,0
"Six heavily armed CPI-Maoist cadres were killed after a 20-hour encounter with the SFs in the Dantewada District. Police and paramilitary teams from the Dantewada and Bijapur Districts shot dead the insurgents in the Kirandul area of Dantewada, 400 kilometers south of capital Raipur. ""We basically hit a Maoist camp, our heavily armed Policemen assisted by Central Reserve Police Force (CRPF) put the militants under heavy fire throughout Monday and early morning on Tuesday. We finally killed six militants and recovered their arms,"" Superintendent of Police (Dantewada) Amresh Mishra told IANS.","Armed Assault, Seizure",1,1,0,0,0,0,0,0,0,0,1,1,0,0
SFs exchanged fire with the Maoists in a brief encounter in Tadgunda jungle under Etapalli Sub-Division of Gadchiroli District.,Armed Assault,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"A CPI-Maoist cadre, who was allegedly involved in landmine explosion and other criminal activities, was arrested by Chandiposh Police and team in the border area of Chandiposh and K Balang forest of Sundergarh District.","Arrest, Bombing",0,0,1,1,0,1,0,0,0,0,0,0,0,0
"Top CPI-Maoist leader and an accused in the April 2010 Dantewada attack that killed 75 CRPF personnel, Hemant Mandavi alias Bijja was arrested in Dantewada District of Chhattisgarh. According to the SATP data 75 CRPF personnel and a State Policeman were killed in the Dantewada attack by the Maoists. The Chhattisgarh Police, which made the arrest, claimed that he was involved in the murder of 136 civilians and security personnel and was leading Platoon No-1 of a CPI-Maoist military company.",Arrest,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"Police seized a huge cache of explosives from an area under Pratappur Police Station. The Chatra SP D. B. Sharma said that the seizure was made when Police, during long-range patrolling, came across three persons carrying sacks and wires at a jungle near Kalhibar village. When the Police personnel asked the men to stop, they escaped while leaving behind the sacks and wires, he said. On checking the sacks, Police recovered 10 kilograms ammonium nitrate, 110 detonators, 40-metres of fuse wire, 10 metres of electric wire and other equipment used for making improvised explosive devices (IEDs). Police had tip-off of that Maoists plan to create disturbances during the poll and intensive search and combing operations was launched in the area ahead of the polls, the SP added.",Seizure,0,0,0,0,0,0,0,0,0,0,1,1,0,0
CPI-Maoist cadres have set ablaze the Gadchiroli Forest Department's range office and inspection room at Perimili on the Bhamragarh-Alapalli road.,Infrastructure,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"A joint Police team of Dumka and Pakur Districts arrested six persons in connection with the Maoist posters put up recently claiming the responsibility of killing two top-ranking officials of the Panem coal mine. In the posters put up at different places in the Amrapara and Gopikandar block (administrative division) areas a couple of days after the incident, the Maoists had taken the responsibility of killing the two Panem officials for their alleged role in exploiting the displaced persons where the coal mine is situated. The arrested persons were identified as Nandlal Bhagat, Bablu Bhagat and Gopin Murmu of Kuschira village under the Gopikandar Police Station of the District and Sunil Bhagat, Ganpati Rajak and Vrindavan Pandit of Amrapara. As reported earlier, the executive director of the Panem coal mine, D Saran, and assistant mining manager Sheetal Prasad, shot dead by the suspected Maoists on October 12 while they went for a morning walk.","Arrest, Armed Assault",0,1,1,1,0,0,0,0,0,0,0,0,0,0
"A dalam 'commander' of the CPI-Maoist, Sutari Papa Rao (42) alias Singanna, was killed in an exchange of fire with a Police party near Sayannapalli village in Gundala mandal of Khammam District.",Armed Assault,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"In fierce fighting between Greyhounds personnel of the Andhra Pradesh Police and CPI-Maoist cadres near Ahobilam in the Nallamala forest of Kurnool District, a Police personnel and a Maoist were killed.",Armed Assault,1,1,0,0,0,0,0,0,0,0,0,0,0,0
