incident_number,incident_summary,model_prediction,ground_truth,strategy,model_lat,model_lon,model_geocoded_state,model_geocoded_district,human_lat,human_lon,human_geocoded_state,human_geocoded_district,baseline_lat,baseline_lon,dist_model_baseline_km,dist_human_baseline_km,dist_model_human_km
1412201502,"CPI-Maoist cadres set ablaze a mobile tower at Chipakur village under Boipariguda block in Koraput District, a day after the rebels damaged a mobile tower at Kalia Atal village in the block. Sources said, around 20 Maoists reached the mobile tower at Chipakur around midnight and poured kerosene before setting it on fire.","state: Odisha, district: Koraput, village: Chipakur, other_locations: Boipariguda","state: Odisha, district: Koraput, village: Chipakur, other_locations: Boipariguda",comma_delimited,18.6790063,82.2569717,Odisha,Southern Division,18.6790063,82.2569717,Odisha,Southern Division,18.679,82.257,0.0030622698041899623,0.0030622698041899623,0.0
112211501,"Cadres of the CPI-Maoist allegedly killed an adivasi, identified as V. Satya Rao, (55), in G. Madugula mandal in Visakhapatnam District, after branding him a police informer. The killing also marked the beginning of the week-long bandh in the Agency area from December 21, called by the AOBSZC of the CPI-Maoist, protesting against the Government move to mine bauxite in the Jerela area.","state: Andhra Pradesh, district: Visakhapatnam, other_locations: G. Madugula","state: Andhra Pradesh, district: Vishakhapatnam",comma_delimited,18.0124337,82.533076,Andhra Pradesh,,17.6973801,83.29902539999999,Andhra Pradesh,,18.013222222222222,82.53166666666667,0.1729093300796325,88.48454909239638,88.3130069067801
312231501,"A former village sarpanch, identified as Hadma Ram (45), was abducted and killed by the CPI-Maoist cadres on the suspicion of being a 'Police informer' in Dantewada District. The former sarpanch of Nilawaya village panchayat, was found lying in a pool of blood on Aranpur-Sameli road near his native place under Aranpur Police Station limits. ""The victim had been abducted by some armed Naxals from his house at Armebandi Para in Nilawaya last night and his body was found this morning on the road, located around 450 kms away from the state capital, following which police were informed,"" a Police official said.","state: Chhattisgarh, district: Dantewada, village: Armebandi Para, other_locations: Nilawaya","state: Chhattisgarh, district: Dantewada, village: Armebandi Para, other_locations: Nilawaya",comma_delimited,18.509037,81.423306,Chhattisgarh,Bilaspur Division,18.509037,81.423306,Chhattisgarh,Bilaspur Division,17.945263,81.413078,62.69811495276482,62.69811495276482,0.0
312241501,"The Bastar Police claimed that around ""1,500 villagers"" from the Chintalnar area of Sukma District ""arranged"" the surrender of 70 alleged Maoists in the ""biggest event of Maoist surrender till date."" ""Seventy Maoists surrendered before the Police at the Chintalnar Police camp in Sukma in the presence of Bastar Inspector-General of Police S.R.P. Kalluri,"" said a statement issued by the Sukma District Police.","state: Chhattisgarh, district: Sukma, other_locations: Chintalnar","state: Chhattisgarh, district: Sukma, other_locations: Chintalnar police camp",comma_delimited,18.3403684,81.1816399,Chhattisgarh,Bastar Division,18.3403684,81.1816399,Chhattisgarh,Bastar Division,17.945263,81.413078,50.28150455063357,50.28150455063357,0.0
312241502,"A CPI-Maoist cadre was killed by SFs personnel during an encounter in Kapnar village under Pakhnar Police outpost of Darbha area in Bastar District. A joint squad of CAF, DRG and District Police had launched a combing operation in the area surrounding Pakhnar since December 25 early morning. As they were cordoning-off a forested hill between Kapnar and Toynar, a group of armed cadres opened indiscriminate fire on them, prompting the SF personnel to retaliate. However, the Maoists soon fled the spot as the SFs zeroed in on them. Later, during a search, the body of a Maoist clad in 'uniform' and a weapon were recovered from the spot.","state: Chhattisgarh, district: Bastar, village: Kapnar, other_locations: Darbha","state: Chhattisgarh, district: Bastar, village: Kapanar, other_locations: Darbha",comma_delimited,18.8615662,81.8684621,Chhattisgarh,Bastar Division,18.8284197,81.65282189999999,Chhattisgarh,Bastar Division,19.0854,82.0183,29.457128298127255,47.893455428413446,22.99013633233776
1412251502,The CPI-Maoist cadres killed a Sarpanch in Malkangiri District. A group of Maoists came to Badapada under Kuduguluguma block and forcibly took away Jayaram Khara on December 25. But villagers found the body of Khara near the village on Saturday morning with his throat slit. It is suspected that Maoists killed the Sarpanch branding him as a 'Police informer'.,"state: Odisha, district: Malkangiri, village: Badapada, other_locations: Kuduguluguma","state: Odisha, district: Malkangiri, village: Badapada, other_locations: Kuduguluguma",comma_delimited,18.378049,82.1781613,Odisha,Southern Division,18.378049,82.1781613,Odisha,Southern Division,21.08608333333333,86.42355555555557,536.7088689893521,536.7088689893521,0.0
1412251501,"The CPI-Maoist cadres killed a civilian, identified as S. Badnayak, brother of a former Sarpanch in Kudumulgumma Raba village area of Malkangiri District. The Maoists took him away from his residence and his body was found on December 26 morning with throat slit, a Police officer said.","state: Odisha, district: Malkangiri, village: Kudumulgumma Raba","state: Odisha, district: Malkangiri, village: Kudumulgumma Raba",comma_delimited,18.378049,82.1781613,Odisha,Southern Division,18.378049,82.1781613,Odisha,Southern Division,18.378,82.1782,0.006809100668463932,0.006809100668463932,0.0
312251501,"CPI-Maoist cadres have killed a postmaster - Sujit Modiymi - in Dantewada District. Sujit was found dead near his village Fulfad. He was abducted on December 25 on suspicion of being a ""Police informer."" The Maoists also left a handwritten note near the body of the postmaster.","state: Chhattisgarh, district: Dantewada, village: Fulfad","state: Chhattisgarh, district: Dantewada, village: Fulfad",comma_delimited,18.8998486,81.34743,Chhattisgarh,Bilaspur Division,18.8998486,81.34743,Chhattisgarh,Bilaspur Division,18.7275,81.4416,21.575753730168945,21.575753730168945,0.0
312261501,"Acting on intelligence inputs, Chhattisgarh Police arrested four CPI-Maoist cadres from Bhansi Police Station area in Dantewada District. Those arrested were identified as Sai alias Sahi (30), Kama Telami (27), Laxman (30) and Rajesh (35).","state: Chhattisgarh, district: Dantewada, other_locations: Bhansi","state: Chhattisgarh, district: Dantewada, other_locations: Bhansi Police Station",comma_delimited,18.8209922,81.33291659999999,Chhattisgarh,Bilaspur Division,18.8209922,81.33291659999999,Chhattisgarh,Bilaspur Division,18.85125,81.34063,3.461055420572759,3.461055420572759,0.0
812261501,"Cache of arms and explosives hidden by the CPI-Maoist were recovered by CRPF personnel near Tilaya-Dania road of Jhumra hill under Mahuatard Police Station limits in Bokaro District. The explosives included a cylinder bomb of 30 kg, four cane bombs of 10 kg each, 10 pieces of detonators, one local made pistol and Maoist literature during the operation, said Y.S. Ramesh, SP Bokaro.","state: Jharkhand, district: Bokaro, other_locations: Jhumra hill","state: Jharkhand, district: Bokaro, village: Mahuatard, other_locations: Jhumra Hill",comma_delimited,23.6692956,86.15111200000001,Jharkhand,North Chotanagpur Division,23.6692956,86.15111200000001,Jharkhand,North Chotanagpur Division,24.319166666666668,85.52775,96.08238641320932,96.08238641320932,0.0
312271501,"Eight Maoists were arrested from different places in Sukma District. Three Maoists were arrested from the forests of Jagargunda Police Station area while five others were nabbed from Chintalanar Police Station limits, Sukma ASP Santosh Singh said.","state: Chhattisgarh, district: Sukma, other_locations: Chintalanar","state: Chhattisgarh, district: Sukma, other_locations: Jagargunda Police Station area; Chintalanar Police Station limits",comma_delimited,18.3909118,81.6588003,Chhattisgarh,Bastar Division,18.3624731,81.1196075,Chhattisgarh,Bastar Division,17.945263,81.413078,55.94239515004833,55.80036646594347,56.985818175773474
112281501,A top CPI-Maoist cadre who was wanted in at least 15 cases of murder and carrying a reward of INR One million on his head was killed in an encounter in East Godavari District. K Chukka alias Nagesh (35) was a 'member' of Sabari 'area divisional committee' of the CPI-Maoist. He was killed in an exchange of fire with the Police in a forest under the Chinturu Police Station limits.,"state: Andhra Pradesh, district: East Godavari, other_locations: Chinturu","state: Andhra Pradesh, district: East Godavari",comma_delimited,17.7462502,81.39296329999999,Andhra Pradesh,,17.0743715,81.73494199999999,Andhra Pradesh,,,,,,83.05438902716196
312281501,"A suspected woman Maoist cadre, identified as Mangoti Korram, who was allegedly involved in violence during panchayat elections early this year (2015), was arrested under Amabeda Police Station area in Kanker District. She was carrying a reward of INR 100,000 on her head. Korram was a member of Kiskodo LOS and allegedly involved in looting of EVMs at Alanar village during panchayat polls held in 2015.","state: Chhattisgarh, district: Kanker, other_locations: Amabeda","state: Chhattisgarh, district: Kanker, other_locations: Amabeda police station",comma_delimited,20.0653536,81.3248136,Chhattisgarh,Bastar Division,20.0653536,81.3248136,Chhattisgarh,Bastar Division,20.1127,81.2463,9.743875164963004,9.743875164963004,0.0
812301501,"A 19-year-old youth who was a suspected CPI-Maoist cadre committed suicide at the Ghatshila Police Station in lock-up in the wee hours. The deceased was identified as Ramesh Mahali alias Bhuchan, a resident of Shyamsundarpur in Ghatshila sub-division of East Singhbhum District. According to information, Bhuchan was one of the three accused who had killed Venket Reddy (40), site in-charge of a construction company, at Shyamsundarpur forest after kidnapping him from Kharkasoli, a canal construction site along Subernarekha river in Shyamsundarpur on December 8.","state: Jharkhand, district: East Singhbhum, other_locations: Ghatshila","state: Jharkhand, district: East Singhbhum, other_locations: Ghatshila police station",comma_delimited,22.5862036,86.47731739999999,Jharkhand,Kolhan Division,22.5792439,86.4820388,Jharkhand,Kolhan Division,22.589888888888886,86.47508333333333,0.4696067771598783,1.3823943156026188,0.9131650672008031
312301501,"A CPI-Maoist cadre, identified as Sudan Korram, wanted in connection with murder of a Police Constable and several other crimes, was arrested from his house at Erandarwal village under Mardapal Police Station limits in Kondagaon District.","state: Chhattisgarh, district: Kondagaon, village: Erandarwal, other_locations: Mardapal","state: Chhattisgarh, district: Kondagaon, village: Erandarwal",comma_delimited,19.3685254,81.5385611,Chhattisgarh,Bastar Division,19.595393,81.664585,Chhattisgarh,Bastar Division,19.3685,81.5386,0.004962753931509079,28.47701412381559,28.476403003148
