incident_summary,true_label,pred_label,raw_output
"Three CPI-Maoist cadres were arrested during search operations in Gaya District. Acting on a tip-off, a Police team assisted by the STF of Bihar Police raided three places in the District and arrested the Maoists and recovered five drums (500 quintals) explosives, besides three country-made pistols and cash worth INR 475, 000 from their possession, City SP Satyavir Singh said. The Police started combing operation in the area and raids were being conducted in some areas of the adjoining areas in Jehanabad District, Singh added.",Security,Security,Security
"One top CPI-Maoist leader, suspected to be the commander of Mahasamund-Bargarh division, was killed during an exchange of fire in Karramal and Paridhapali forest under Baramkela Police Station in Raigarh District. According to State DGP Anil M Navaney, after getting a tip-off that a group of 50 Maoists were holding a meeting with the local villagers in Karramal forest, a joint squad of Police Force and STF was sent to the location. After spotting the SFs, the Maoists opened fire and during the Police retaliation, one of the Maoists was gunned down, while other escaped from the spot, DGP Navaney said. ""Among other things, an AK 47 was recovered from the deceased Maoist, who was in Maoist uniform. Besides, a diary, seized from him, has identified him as DVCM, Ajhade. However, we are yet to identify the body. But the recovery of AK 47 from him clearly indicates that he was a high-ranking Maoist leader"", Navaney said. Apart from the AK 47 rifle, three magazines, two detonators, a tiffin bomb and other material was recovered from the location, he added.",Security,Maoist,Maoist
"Maoists set ablaze a private vehicle in Jamui District of Bihar, during the bandh called by the Maoists on October 2.",Maoist,Maoist,Maoist
"Police neutralized a camp of the CPI-Maoist near Telkoi village in Keonjhar District and arrested four Maoists. Those arrested include 25-year-old Birsa alias Raghu, a Maoist ‘area commander’. ""He [Birsa] joined the Maoists four years ago and committed several crimes in the District. The other three are his associates. All of them are between 25 to 30 years of age. They too were involved in Maoist activities,"" a Police officer said. ""Police have seized four country-made guns, other weapons, five global positioning system devices, Maoist literature, utensils and food material from the camp,"" he added.",Security,Security,Security
"Around 100 to 150 Maoist cadres set ablaze a JCB machine, two generators, two mixture machines, two tractors, one operating machine, along with more than half a dozen other machinery parts and motor spare parts of a road construction firm and assaulted the labourers employed in Dolangi Village in Ramchandrapur in Surguja District",Maoist,Maoist,Maoist
A large cache of arms and ammunition allegedly meant for Maoist groups were recovered from a building in the Satnami Nagar area of Bhopal. An unspecified number of people were detained in this connection.,Security,Unknown,Unknown
"A 30-year-old CPI-Maoist 'commander', carrying a reward of INR 100,000 on his head, was killed in a Police encounter in Kondagaon District. The deceased, identified as Sudhram, a native of Sahpadarpara in Kudur, was a People's Militia commander, Police said. The skirmish took place early in the morning between a team of district force and Maoist in the dense forests of Kudur-Rakasmeta villages the under Mardapal Police Station limits, Kondagaon SP J.S. Watti said.",Security,Security,Security
"Three railway officials, abducted by suspected cadres of the CPI-Maoist on May 12, were rescued after an intensive combing operation in the forests of Amjharia in the Hazaribagh District, 140 km from Ranchi. ""Station Master Lalit Prasad, Deputy Station Master Sushil Kumar Tete and Assistant Station Master Anil Kumar of Hendigir railway Station of the East-Central Railways have been rescued unharmed,"" Superintendent of Police (SP) Pankaj Kamboj told journalists. During the combing operation, the kidnappers saw the Police approaching and started firing. After retaliatory action, all of them fled leaving the officials behind, he said. The abductors, who claimed to be Maoists, could belong to either the Jharkhand Prastuti Committee (JPC) or TPC, breakaway groups of the CPI-Maoist, the SP said. Three rifles, two country-made revolvers, six live cartridges, four cell phones and explosive materials were recovered from the spot.",Security,Maoist,Maoist
"Three cadres of the PLFI, a break away faction of the CPI-Maoist, including a woman, were arrested from Tupudana area in Ranchi District. The arrested extremists were identified as Sonam, Victor and Manoj. A pistol, Maoist literature and some incriminating documents were recovered from them.",Security,Security,Security
Three civilians were reportedly killed by Maoists in Narayanpur District.,Maoist,Maoist,Maoist
